x,y,class
0.826,1.532,1.0
0.428,0.205,0.0
0.392,0.685,3.0
0.465,1.109,3.0
0.55,1.154,3.0
1.026,1.281,1.0
0.367,0.491,3.0
0.54,1.57,1.0
0.684,0.168,0.0
0.071,0.407,0.0
-0.07,1.031,3.0
-0.024,0.331,0.0
0.649,1.256,3.0
-0.461,0.684,0.0
0.543,0.577,3.0
0.46,0.581,3.0
0.557,0.123,0.0
-0.011,0.634,3.0
-0.126,0.129,0.0
1.303,1.001,1.0
-0.045,0.596,0.0
0.485,0.671,3.0
0.703,1.397,1.0
0.921,1.226,1.0
0.982,1.172,1.0
0.726,1.108,3.0
0.146,0.369,0.0
0.019,0.256,0.0
1.124,1.233,1.0
1.025,1.335,1.0
0.899,1.48,1.0
1.059,1.219,1.0
-0.211,0.594,0.0
0.159,0.282,0.0
-0.276,0.159,0.0
0.361,0.122,0.0
0.332,0.107,0.0
0.305,-0.273,0.0
-0.171,0.133,0.0
0.94,1.426,1.0
-0.057,0.191,0.0
0.371,1.128,3.0
0.391,0.229,0.0
0.772,1.344,1.0
0.248,0.563,3.0
0.881,1.426,1.0
0.324,0.449,3.0
0.066,0.53,3.0
-0.318,0.522,0.0
0.126,0.953,3.0
0.869,1.265,1.0
0.275,0.217,0.0
0.219,0.339,0.0
0.715,1.21,3.0
0.262,0.281,0.0
-0.032,0.825,3.0
0.501,0.586,3.0
0.066,0.524,0.0
0.782,1.213,3.0
0.308,0.554,3.0
0.773,1.437,1.0
0.415,-0.041,0.0
1.05,1.007,1.0
1.167,1.419,1.0
0.535,1.699,1.0
0.419,0.597,3.0
0.465,-0.169,0.0
0.329,0.416,3.0
0.265,0.684,3.0
0.848,1.367,1.0
0.943,1.493,1.0
0.656,1.569,1.0
1.168,1.422,1.0
0.634,1.334,3.0
0.11,0.637,3.0
-0.511,-0.181,0.0
0.295,-0.131,0.0
0.273,-0.444,0.0
0.467,0.298,0.0
0.105,0.912,3.0
0.315,0.302,0.0
0.647,0.556,3.0
0.25,0.555,3.0
0.373,0.756,3.0
-0.296,0.016,0.0
0.452,0.858,3.0
1.006,1.3,1.0
-0.03,-0.08,0.0
0.939,1.224,1.0
0.244,0.561,3.0
0.097,0.124,0.0
0.289,0.561,3.0
0.578,0.365,0.0
0.725,1.093,3.0
0.118,0.323,0.0
-0.011,0.794,3.0
0.404,0.002,0.0
0.567,1.273,3.0
0.652,0.058,0.0
0.721,1.547,1.0
0.263,0.392,0.0
0.347,1.467,1.0
-0.279,0.328,0.0
0.796,0.576,0.0
0.822,1.599,1.0
0.747,1.363,1.0
0.609,0.071,0.0
0.506,0.834,3.0
1.127,1.32,1.0
0.481,1.538,1.0
-0.189,0.831,0.0
1.108,0.834,1.0
0.412,1.728,1.0
0.754,1.408,1.0
0.153,0.298,0.0
0.821,1.328,1.0
-0.148,0.116,0.0
0.703,1.336,1.0
0.475,1.265,3.0
0.424,0.663,3.0
0.314,1.024,3.0
0.92,1.444,1.0
0.998,1.372,1.0
-0.018,0.279,0.0
0.698,1.411,1.0
0.364,0.141,0.0
1.43,1.283,1.0
0.662,0.891,3.0
0.329,0.841,3.0
0.845,1.522,1.0
-0.096,0.292,0.0
0.859,1.348,1.0
0.521,-0.098,0.0
0.39,0.142,0.0
0.254,0.86,3.0
0.816,1.094,3.0
0.48,1.575,1.0
0.931,0.899,1.0
0.844,1.395,1.0
0.085,0.246,0.0
0.165,0.339,0.0
1.16,1.116,1.0
1.019,1.387,1.0
0.42,0.247,0.0
0.644,1.48,1.0
0.58,1.463,1.0
0.047,0.491,0.0
0.229,0.712,3.0
0.344,0.084,0.0
-0.036,0.769,3.0
-0.052,0.244,0.0
0.155,0.356,0.0
0.358,0.59,3.0
0.779,1.051,3.0
0.12,0.623,3.0
-0.118,0.899,0.0
-0.153,0.027,0.0
-0.02,-0.079,0.0
1.112,1.208,1.0
0.328,-0.113,0.0
0.714,1.186,3.0
0.578,0.856,3.0
0.139,0.519,3.0
0.788,1.151,3.0
0.486,0.541,3.0
0.298,0.273,0.0
0.646,-0.17,0.0
0.842,1.426,1.0
-0.127,0.513,0.0
0.793,1.568,1.0
0.727,1.131,3.0
-0.114,0.294,0.0
0.816,1.285,1.0
0.41,0.765,3.0
0.418,0.686,3.0
0.767,1.52,1.0
0.57,1.414,1.0
-0.081,0.632,0.0
-0.11,0.744,0.0
0.374,0.741,3.0
0.793,0.489,0.0
-0.167,0.398,0.0
-0.002,0.59,0.0
0.75,1.446,1.0
0.512,0.386,0.0
0.206,0.228,0.0
0.215,0.578,3.0
1.029,1.624,1.0
0.339,0.418,3.0
0.594,0.932,3.0
0.072,0.04,0.0
1.034,1.259,1.0
0.046,0.292,0.0
0.688,1.575,1.0
-0.029,-0.031,0.0
0.935,1.218,1.0
0.905,0.289,0.0
0.431,0.048,0.0
-0.019,0.112,0.0
0.496,0.219,0.0
-0.03,0.044,0.0
0.778,1.263,1.0
0.955,1.212,1.0
0.74,1.001,3.0
0.736,1.252,3.0
0.543,1.325,3.0
0.339,0.455,3.0
1.057,1.682,1.0
-0.2,0.815,0.0
0.782,1.28,1.0
-0.453,0.802,0.0
0.366,0.213,0.0
0.726,1.238,3.0
0.256,0.731,3.0
0.405,0.438,3.0
0.703,1.079,3.0
0.516,0.779,3.0
-0.022,0.485,0.0
0.622,0.574,3.0
0.103,0.18,0.0
0.142,0.252,0.0
0.001,0.451,0.0
0.392,1.184,3.0
0.303,0.753,3.0
0.105,0.245,0.0
0.405,0.104,0.0
0.766,1.307,1.0
-0.287,0.572,0.0
0.923,1.082,1.0
-0.097,0.34,0.0
0.4,1.453,1.0
0.573,1.417,1.0
0.376,0.381,0.0
-0.091,0.312,0.0
0.383,0.148,0.0
1.058,1.264,1.0
0.793,1.375,1.0
0.968,1.54,1.0
0.497,0.078,0.0
0.148,0.656,3.0
0.525,0.205,0.0
0.779,1.07,3.0
0.385,0.36,0.0
0.198,0.506,3.0
-0.292,0.806,0.0
-0.074,0.246,0.0
0.47,1.397,1.0
0.933,1.098,1.0
0.912,1.488,1.0
1.101,1.298,1.0
0.323,0.606,3.0
0.387,0.173,0.0
-0.083,0.226,0.0
-0.22,-0.319,0.0
0.157,0.481,3.0
0.292,-0.267,0.0
0.716,1.36,1.0
0.52,0.615,3.0
0.539,0.563,3.0
0.723,1.285,1.0
0.553,0.62,3.0
0.457,1.054,3.0
0.098,0.378,0.0
-0.407,0.308,0.0
1.157,1.175,1.0
1.109,1.234,1.0
-0.053,0.572,0.0
0.651,1.534,1.0
0.675,1.432,1.0
0.653,1.09,3.0
0.603,0.344,0.0
1.011,1.174,1.0
0.664,1.393,1.0
0.758,1.637,1.0
-0.371,0.978,0.0
0.347,0.726,3.0
0.019,0.311,0.0
-0.197,0.053,0.0
0.545,0.613,3.0
0.221,0.14,0.0
0.238,0.502,3.0
0.992,1.284,1.0
1.173,1.26,1.0
0.678,1.471,1.0
0.855,1.412,1.0
0.437,0.305,0.0
0.942,1.301,1.0
-0.07,0.319,0.0
0.335,0.445,3.0
0.138,0.754,3.0
0.382,0.359,0.0
0.809,1.248,1.0
0.762,1.154,3.0
0.577,1.267,3.0
0.106,0.329,0.0
0.393,0.981,3.0
0.293,0.621,3.0
0.016,0.59,3.0
-0.215,0.321,0.0
0.582,1.328,3.0
0.394,-0.334,0.0
1.08,1.332,1.0
0.447,0.454,3.0
0.633,1.217,3.0
0.261,0.52,3.0
0.888,1.11,1.0
0.992,0.126,0.0
0.164,-0.151,0.0
0.539,0.332,0.0
0.148,0.594,3.0
0.037,0.233,0.0
0.253,0.42,0.0
0.622,0.413,0.0
0.432,0.359,0.0
0.384,0.019,0.0
0.807,1.35,1.0
0.748,1.26,1.0
0.408,0.528,3.0
0.301,0.082,0.0
0.354,0.073,0.0
0.862,1.416,1.0
0.786,1.226,1.0
0.867,0.874,3.0
-0.008,0.63,3.0
-0.007,0.218,0.0
0.691,1.354,1.0
0.797,1.744,1.0
0.579,1.202,3.0
1.048,1.294,1.0
0.384,0.307,0.0
0.863,1.888,1.0
0.417,1.354,3.0
1.01,1.189,1.0
0.651,1.353,1.0
1.077,1.175,1.0
-0.091,0.165,0.0
0.386,0.566,3.0
0.855,1.238,1.0
0.946,1.178,1.0
0.816,0.998,3.0
0.093,0.412,0.0
-0.356,0.734,0.0
-0.05,0.105,0.0
0.963,1.931,1.0
-0.216,0.759,0.0
0.902,1.052,1.0
0.465,0.055,0.0
-0.678,0.567,0.0
0.146,0.123,0.0
0.167,0.204,0.0
0.949,1.432,1.0
0.566,1.482,1.0
0.568,1.566,1.0
-0.334,0.468,0.0
0.077,0.42,0.0
0.196,-0.052,0.0
-0.328,0.487,0.0
0.527,0.348,0.0
0.726,1.542,1.0
0.949,1.468,1.0
0.184,0.534,3.0
0.168,0.344,0.0
0.183,0.177,0.0
0.452,0.023,0.0
0.29,0.203,0.0
0.986,1.411,1.0
0.647,1.338,1.0
0.708,0.516,3.0
0.568,1.413,1.0
-0.218,0.694,0.0
0.962,1.359,1.0
0.773,1.456,1.0
0.489,0.293,0.0
0.786,1.338,1.0
0.92,0.035,0.0
0.15,-0.149,0.0
0.147,0.367,0.0
0.442,0.321,0.0
0.993,1.13,1.0
1.068,1.19,1.0
-0.24,0.371,0.0
0.706,1.128,3.0
0.289,0.242,0.0
-0.177,0.441,0.0
0.405,0.381,0.0
0.802,1.353,1.0
0.84,1.529,1.0
1.077,1.782,1.0
0.725,1.309,1.0
0.338,0.147,0.0
0.409,0.456,3.0
0.556,0.258,0.0
0.039,0.783,3.0
0.172,0.389,0.0
0.442,0.263,0.0
0.614,1.148,3.0
0.197,0.425,0.0
-0.431,0.468,0.0
0.285,-0.018,0.0
-0.341,0.707,0.0
0.822,1.294,1.0
0.744,1.38,1.0
0.586,0.778,3.0
0.633,0.889,3.0
0.744,0.254,0.0
-0.054,0.776,3.0
0.222,-0.574,0.0
-0.451,0.038,0.0
0.022,0.354,0.0
0.19,0.149,0.0
-0.1920256782820586,1.4909877442614206,2.0
-0.3259647971204341,1.3425708722546843,2.0
-0.6196400771538214,1.8957659190848952,2.0
-0.5132054890308013,1.0492193386774669,2.0
0.000506346213396,1.1177939660879366,3.0
0.2415841689356911,1.153850282644874,3.0
-0.6770293919408901,1.0551221178815435,2.0
-0.0353698384905997,1.7478185188124,2.0
0.2156327304486327,1.728181597499649,2.0
0.1682053800063973,1.767388671627251,2.0
0.0352432437518942,1.675826848766345,2.0
-0.2130108301155688,1.7880957130713369,2.0
-0.5772051178211914,1.59097458363392,2.0
0.2534095345576136,1.027632034908471,3.0
-0.4047324487173869,1.2476557172933098,2.0
-0.3226989641322532,1.7457021271008235,2.0
-0.0987321827037217,1.5973038430272712,2.0
0.2413321666133249,1.8451526033067065,2.0
0.3558123101502854,1.0164561718058216,3.0
-0.0278571235857817,1.4882470593993102,2.0
-0.1897678379590254,1.454090824904633,2.0
-0.2942013357989498,1.3692877488954962,2.0
-0.4295741039574744,1.0324239202374168,2.0
-0.0372355942604591,1.00718221075421,3.0
-0.3394035951330281,1.489246070840265,2.0
-0.6893819429390852,1.540198289002896,2.0
0.1949394346991829,1.736186877858359,2.0
-0.0505161006199643,1.0846904457500726,3.0
-0.3736887319930157,1.6579568134590232,2.0
-0.5462254968712753,1.5677958541796642,2.0
-0.2811632087436748,1.8710722082173,2.0
-0.3037886098874777,1.1797281150012942,2.0
0.1310272502887411,1.9110786923067653,2.0
-0.2177882789825014,1.7990983728078715,2.0
-0.2654388869123303,1.37904547446521,2.0
-0.3084423156516606,1.8375898759756564,2.0
-0.3126858025698716,1.9761189654551448,2.0
-0.1075011795755416,1.4289542562545086,2.0
0.3607722251734311,1.737373481735153,2.0
0.0016014857586791,1.0097416879459238,3.0
0.3205739435687045,1.7641945414727749,2.0
-0.0460074919130815,1.4331772222855994,2.0
-0.3542246366566813,1.5478907653383196,2.0
0.2258268426507302,1.9080770578398387,2.0
-0.3362343054020438,1.198524167082954,2.0
-0.0054491728742904,1.6223634681874826,2.0
0.3771445881934516,1.5869029356333535,2.0
-0.3886631123889712,1.7572562353553187,2.0
0.3189966713725354,1.668907401172417,2.0
0.3776231312073659,1.2982387401522597,3.0
-0.2142520178669531,1.3663037095861643,2.0
-0.6758554673282463,1.204408269265453,2.0
0.0856606293340335,1.256461091032787,3.0
0.0720629503723047,1.5824694920770177,2.0
-0.1949969620024465,1.1365498842475878,2.0
0.3558243028706711,1.2314810077945508,3.0
-0.0875232591032764,1.487136302725122,2.0
-0.2305114650352782,1.519505198761829,2.0
-0.4869494243748377,1.7071775523479378,2.0
0.0805143787128811,1.8855977141792557,2.0
0.3370908675988118,1.658920085788364,2.0
-0.5067312867517816,1.147560166618828,2.0
-0.4108104542909321,1.6831809094385537,2.0
0.1847193835762083,1.414192529256189,2.0
-0.0884498796478773,1.8993448972325249,2.0
-0.1855016726263053,1.010314940125213,2.0
0.0065100045673555,1.793979510339084,2.0
-0.4548240088730925,1.185339242317382,2.0
-0.3477749325276646,1.141744290891137,2.0
-0.0540194186735033,1.987350874552256,2.0
0.3844821552858908,1.1035286020808286,3.0
-0.2269903134602934,1.513345923198376,2.0
0.2939734764640941,1.3720084609145746,3.0
-0.5302083203266715,1.3961340390534795,2.0
-0.258498451536131,1.9914271032258557,2.0
-0.1726990250821375,1.6412138915383092,2.0
-0.6195513287290458,1.0260705718081329,2.0
-0.6894829037111427,1.4517873721242551,2.0
0.2298633654374853,1.1382877671267595,3.0
-0.4749954771478101,1.3893426321916174,2.0
-0.181451389468992,1.346899762823783,2.0
-0.0712561173530685,1.9026748272448128,2.0
-0.2948260528034621,1.487106484863128,2.0
-0.0908262423205005,1.61211082135899,2.0
-0.4441837150277117,1.3266840173852663,2.0
-0.3116293100985663,1.202901284017268,2.0
-0.6169552567203237,1.5400203483192083,2.0
-0.2100659394655568,1.6017033102873894,2.0
0.1748100560794985,1.4494336435510695,2.0
0.1560744050826358,1.850259982549733,2.0
-0.0546456186242466,1.344936150306078,2.0
-0.3794111696630014,1.8740142789773528,2.0
0.263921196841608,1.7352726999572767,2.0
-0.1519678186321238,1.3838827905116968,2.0
-0.4594059312703075,1.4384680153728433,2.0
-0.0781685552672174,1.793742893974906,2.0
-0.3708619593053737,1.9418529114845156,2.0
-0.4377975845064045,1.5884554143945853,2.0
-0.6935250999030398,1.4536758439237625,2.0
-0.5240923771623903,1.0148432612350338,2.0
-0.1156693069624501,1.7115564612165426,2.0
-0.3325134058387676,1.7841717746458992,2.0
-0.3502253848319894,1.963501871598965,2.0
-0.23277123807,1.5214035589604775,2.0
-0.6647066857250522,1.4681129310019965,2.0
0.137872410223907,1.3586485125903185,2.0
-0.2824518449502304,1.833860009908356,2.0
-0.4484097964753778,1.106748182966696,2.0
-0.0546970137346505,1.94649897168746,2.0
0.1793876078232186,1.6841976229568654,2.0
-0.3056654528682281,1.368709389886026,2.0
0.2917171434347377,1.6932224744029114,2.0
0.1764432472257042,1.0513435052614195,3.0
-0.1190104679604016,1.4122113123962086,2.0
0.135555244812212,1.448412073906757,2.0
0.1244194988367437,1.0455567843940463,3.0
0.2973467474774686,1.338642318028183,3.0
-0.2811156530511927,1.4436613697518803,2.0
-0.0561268119179645,1.9971462611034856,2.0
-0.1568809345675941,1.5105836975020683,2.0
-0.6980500346017234,1.8906804437341116,2.0
-0.3421225875018422,1.3937270318062016,2.0
0.2774671866016782,1.5432661667028884,2.0
-0.0459207081153705,1.1671189858719857,2.0
-0.6731726289027795,1.315857338996424,2.0
0.1550560765310753,1.530546040047668,2.0
0.1380888994084549,1.0455016005783997,3.0
0.0011949192964824,1.661386695589003,2.0
-0.3065407457422401,1.4198040583462923,2.0
-0.5632380146636878,1.440671790239314,2.0
-0.6792967884448701,1.6382539886008058,2.0
0.0067141055723802,1.5686319713541073,2.0
0.2528723970048615,1.999513478771366,2.0
0.0939923868329781,1.9223000879557988,2.0
0.3011862571885095,1.98068560911664,2.0
-0.2691605756388038,1.990575360936341,2.0
0.0553805974379372,1.7873847975529369,2.0
0.2207740658917426,1.9929268489449383,2.0
-0.0700971452374297,1.7234276140627711,2.0
-0.3289347339826277,1.2230107706539115,2.0
-0.5496217547775217,1.7934587151463914,2.0
-0.0013512280008775,1.6990801017542805,2.0
-0.607991855235484,1.9683324753304337,2.0
0.0227101082989121,1.645930103089455,2.0
0.1872210347735643,1.7617696142205284,2.0
-0.3903829029240415,1.5681974319733412,2.0
-0.6453314503023515,1.898551988888057,2.0
-0.2267398611560725,1.4927485205416993,2.0
0.2343149564673714,1.80503855962893,2.0
0.3681088835854977,1.8936891127987956,2.0
-0.3727923375217952,1.1341261181940747,2.0
-0.4473510653608628,1.5861338612496587,2.0
0.2323263152347403,1.1335118746432418,3.0
-0.4326823246989387,1.370979290152727,2.0
-0.1151334065693754,1.5246302694061176,2.0
0.0573147904764576,1.7268764330701507,2.0
-0.5991654815528333,1.1363299572160954,2.0
-0.6904653091571016,1.026747202068519,2.0
0.3828204940686317,1.1572068036242409,3.0
0.0288271211203969,1.9539805960270105,2.0
-0.3886185377102265,1.7415026919022183,2.0
0.2318751048443721,1.3139271840483246,3.0
-0.1220287019260634,1.3556733789269415,2.0
0.0724754933089679,1.0453945506130131,3.0
-0.4572599227090124,1.173690394534996,2.0
-0.0829167238579179,1.0206369013410528,3.0
-0.6890989012431182,1.3236815193669962,2.0
-0.4772143674595563,1.293233239540609,2.0
0.0880316483788133,1.0199524808089362,3.0
0.0060843677616685,1.8956311110634,2.0
0.154657476716117,1.3327215025492174,3.0
-0.2680926750017394,1.4955405988710069,2.0
0.3550852275216019,1.8685504402384645,2.0
0.0125101381957847,1.4051718413274394,2.0
0.3444076092421628,1.9115221204448012,2.0
-0.0036714569883027,1.071727519122188,3.0
-0.4268784908941438,1.4372603387166982,2.0
0.2773608047085031,1.753775742197241,2.0
-0.5221962239286609,1.1953202618353678,2.0
-0.1469546920388446,1.4274253699032435,2.0
0.2633725958790379,1.2679337689117918,3.0
-0.0204765691389865,1.8610237142546733,2.0
0.0494047021162167,1.820187656980766,2.0
-0.2635875007530706,1.883478340670992,2.0
-0.5942969245480385,1.1517632705551637,2.0
-0.1891955826961383,1.2192866006170815,2.0
-0.3496953933006185,1.3201482767189003,2.0
-0.2941037477074904,1.3037525165079995,2.0
-0.516877611604256,1.494131367883579,2.0
0.2231967581688914,1.6318602179272266,2.0
0.0089548130857273,1.941463036642315,2.0
-0.0280000288612202,1.3525596766352803,2.0
0.2957125756315744,1.7167480952742815,2.0
-0.3488644503685659,1.2931693318564412,2.0
0.0028585764848175,1.17864774987216,3.0
-0.6220728950541845,1.510489398195979,2.0
-0.0108336066356614,1.2620805456215622,2.0
-0.4481941902350543,1.3482512304724232,2.0
-0.140687642297461,1.098123422011231,2.0
-0.6925644833648119,1.3369146109592167,2.0
0.225705762757582,1.81994396424939,2.0
-0.5422931451719875,1.0938730965876695,2.0
-0.1892505550906792,1.877907274339968,2.0
0.2552212127074028,1.4482812972127568,2.0
0.0771913322111321,1.8488489822420564,2.0
0.1873663070058443,1.0567664460705632,3.0
0.0569409751666557,1.9199149684816652,2.0
-0.0342624436710287,1.826351962786384,2.0
0.2059955892575846,1.2599004665878188,3.0
-0.5320705162752293,1.1123301710902933,2.0
-0.0070059679312196,1.3074665154711398,2.0
0.0780369318036978,1.517070085095261,2.0
0.3746388790782569,1.817881125261508,2.0
0.2083540900009518,1.7667939963262536,2.0
0.2768591546355671,1.753485481624328,2.0
0.1956748491982898,1.0450990886903857,3.0
-0.0342342493296148,1.15272139682046,2.0
-0.3137284491598026,1.055764387120356,2.0
-0.3485092054196226,1.0346331309839476,2.0
0.1856073721315438,1.8870746730055368,2.0
-0.2457865595056285,1.7083455439069837,2.0
0.2146760684059665,1.989149880781952,2.0
-0.0164857292692272,1.5404495668406877,2.0
-0.1250160130159728,1.5327954116008125,2.0
0.3429151792464073,1.0516680743300126,3.0
0.0305415794598834,1.4215565589224952,2.0
-0.5221803909929,1.1789408810582929,2.0
0.2136001781029296,1.6383279483764854,2.0
-0.2324174526869404,1.1601283479809283,2.0
0.2894779782260909,1.0795634929439544,3.0
-0.1556498722255007,1.5203465550187532,2.0
-0.5103150970458087,1.3518293791487193,2.0
0.2250870109210546,1.5865804222784543,2.0
0.2182895747977867,1.107822103507889,3.0
0.3525507263603935,1.8240781603476195,2.0
0.3451687396439178,1.5126644196058194,2.0
0.2610768385228299,1.6511359962329275,2.0
-0.2841041242073197,1.0260141146976929,2.0
0.1744651699269334,1.6925401643759024,2.0
0.010138257040796,1.2448688315285366,2.0
0.0794028910207332,1.9388013963235875,2.0
0.288221341024267,1.9026633514386255,2.0
-0.5514235528401155,1.6029428421003633,2.0
0.2344095159994267,1.4343689450336974,2.0
0.3112674871194243,1.7518105720544863,2.0
0.1096430621535831,1.6181765138987276,2.0
-0.3679845726070699,1.4267432212779343,2.0
-0.1064131651917728,1.972235886435944,2.0
0.1632274563177966,1.0233770168108585,3.0
-0.5184629732678778,1.376103752134401,2.0
